cycle,charge_time_to_full_rolling_mean_10,voltage_spread_under_load_rolling_mean_10,proxy_IR_mean_rolling_mean_10,voltage_asymmetry_under_load_rolling_mean_10,charge_time_to_full_rolling_mean_5,voltage_spread_under_load_rolling_mean_5,voltage_spread_mean_rolling_mean_10,voltage_spread_under_load_rolling_mean_3,charge_time_to_full_rolling_mean_3,voltage_spread_under_load,voltage_spread_max_rolling_mean_10,charge_time_to_full,proxy_IR_mean,proxy_IR_median,proxy_IR_mean_rolling_mean_5,Cell_V_Avg_range_rolling_mean_10,proxy_IR_mean_rolling_mean_3,voltage_asymmetry_under_load_rolling_mean_5,voltage_asymmetry_under_load_rolling_mean_3,charge_time_to_95,voltage_asymmetry_under_load,voltage_spread_mean_rolling_mean_5,voltage_spread_max_rolling_mean_5,active_duration,voltage_spread_max_rolling_mean_3,charge_time_to_80,Cell_V_Avg_range_rolling_mean_5,voltage_spread_mean_rolling_mean_3,voltage_asymmetry_mean_rolling_mean_10,Cell_V_Avg_range_rolling_mean_3,soh_label
31,5586.7,0.006469468621484821,0.001721922114216404,0.26549664066203665,5557.8,0.006537958514452369,0.006165764681161984,0.006576965314707875,5553.666666666667,0.00659884659746252,0.018000000000000238,5537.0,0.0017668565056656333,0.0017585426584034412,0.0017507022097483969,0.8262999999999996,0.0017607767389045202,0.2671512745674668,0.2682438722936879,4179.0,0.26870138918940245,0.006189403629672598,0.018000000000000238,21675,0.018000000000000238,2954.0,0.8259999999999998,0.0062824513866418475,0.25930895544883803,0.8269999999999996,92.0
32,5574.2,0.006490829009700616,0.0017332066577260105,0.26611756911237655,5546.0,0.006554839796815967,0.006144645616698443,0.006570136153253751,5528.333333333333,0.006539507067778182,0.018100000000000227,5512.0,0.001785125480604901,0.0017770238895797987,0.0017620444746625388,0.8284999999999997,0.001771299586209063,0.2676985461814191,0.2681153541990497,4157.0,0.26774672969986285,0.0061925789397903365,0.018200000000000216,22072,0.018333333333333535,2935.0,0.8295999999999996,0.006152118395324941,0.2583390379787591,0.8326666666666663,92.0
33,5562.3,0.006515288603114564,0.0017444238845371347,0.2666400459911442,5535.2,0.006582758124406287,0.006163977181263722,0.0065939137584567755,5517.333333333333,0.006643387610129624,0.018200000000000216,5503.0,0.0017949889853379711,0.0017910447761194047,0.0017724889365312863,0.8290999999999997,0.001782323657202835,0.2683905255171196,0.2686407999646456,4152.0,0.2694742810046715,0.006201861546096294,0.018400000000000194,21679,0.01866666666666683,2933.0,0.8305999999999998,0.006201458123756624,0.2573494854574103,0.8326666666666663,92.0
34,5551.6,0.006542116060317714,0.0017556053451242347,0.26733776121717784,5518.0,0.006603030057746676,0.0061921980811012805,0.006614749632250103,5505.666666666667,0.006661354218842501,0.018300000000000205,5502.0,0.001808265509368329,0.0017977528089887656,0.001783430650666698,0.8289999999999997,0.0017961266584370671,0.26890446186383177,0.2693076588072908,4154.0,0.27070196571733807,0.0062383339272708005,0.018600000000000172,21961,0.019000000000000128,2936.0,0.8329999999999996,0.006113173629467273,0.2569848588009702,0.8339999999999996,92.0
35,5537.6,0.006567274575362114,0.0017668477471103603,0.2679954713495877,5506.6,0.0066310236328944085,0.0062066849636223855,0.006672254833077116,5494.666666666667,0.006712022670259221,0.018300000000000205,5479.0,0.00181529525375013,0.0018002571795970963,0.0017941063469453927,0.8303999999999997,0.0018061832494854768,0.2695182123941542,0.2703809810271685,4133.0,0.270966696359496,0.006241151196874605,0.018600000000000172,21526,0.01866666666666683,2918.0,0.8335999999999997,0.006386376248545481,0.25860943548877846,0.8356666666666664,91.0
36,5525.4,0.006596086272188981,0.0017776388751534985,0.26868665386488233,5493.0,0.006654214029925591,0.006229878369311275,0.006696058490573383,5483.333333333333,0.006714798582618428,0.018400000000000194,5469.0,0.0018192024737316698,0.001810436634717775,0.0018045755405586002,0.8307999999999996,0.0018142544122833762,0.27022203316229787,0.27129638503565173,4128.0,0.2722204930301211,0.006270353108949951,0.01880000000000015,21448,0.01866666666666683,2916.0,0.8355999999999998,0.006396603991397944,0.2591136271782072,0.8353333333333332,91.0
37,5517.9,0.006617926248056151,0.0017883422051835692,0.26922609057159097,5489.8,0.006681012699296336,0.00624481313885508,0.006700107222503184,5481.333333333333,0.006673500414631904,0.018500000000000183,5496.0,0.0018354474563348983,0.0018274853801169527,0.0018146399357045998,0.8329999999999996,0.0018233150612722328,0.27075363496176286,0.2711973093622682,4158.0,0.27040473869718756,0.006297047337919824,0.01880000000000015,21706,0.01866666666666683,2949.0,0.8363999999999997,0.0062499740797399795,0.25947460043804116,0.838333333333333,91.0
38,5512.4,0.006639620459706429,0.0017988483114563518,0.26984533373050207,5489.6,0.006696482795006573,0.006264019413924576,0.006703012361977047,5489.0,0.006720738088680807,0.018600000000000172,5502.0,0.0018478277387220603,0.0018440905280804525,0.0018252076863814175,0.8337999999999998,0.0018341592229295428,0.27130014194388447,0.2716106825475294,4167.0,0.27220681591527957,0.006326177281752859,0.01880000000000015,21786,0.019000000000000128,2960.0,0.8369999999999997,0.006343168265220383,0.2599904213811869,0.838333333333333,91.0
39,5497.0,0.006667616111756205,0.001809048103116231,0.2705345598618418,5476.0,0.006732202165765736,0.006276338018778064,0.006744729858650343,5477.333333333333,0.006839951072638318,0.01870000000000016,5434.0,0.001855554855290063,0.001844262295081946,0.001834665555565764,0.8360999999999997,0.0018462766834490072,0.2721646578598519,0.27254536663654744,4102.0,0.27502454529717524,0.006314342110285328,0.01880000000000015,21256,0.019000000000000128,2898.0,0.8391999999999997,0.006186488631692901,0.25883506241031284,0.8399999999999997,90.0
40,5486.6,0.006690211785987966,0.001818932974741944,0.2710694628203081,5466.6,0.006749399939081524,0.006303717050299558,0.00678623356605243,5456.0,0.006798011536838162,0.01880000000000015,5432.0,0.0018607654886137845,0.0018470612632224943,0.0018437596025384952,0.8355999999999998,0.001854716027541969,0.27262071324646203,0.27349277816833384,4101.0,0.27324697329254666,0.00636628290372451,0.019000000000000128,21323,0.019000000000000128,2899.0,0.8375999999999998,0.006501768858219958,0.25866615163433976,0.8376666666666664,90.0
